Projectnaam;BVO_totaal;BVO_wonen;Aantal_woningen;Gevel_totaal;Gevel_open;Omtrek_totaal;BVO_ontsluiting;Aantal_trappenhuizen;Aantal_bouwlagen;Aantal_balkons;BVO_commercieel;Gevel_geluidsbelasting;BVO_overig;Oppervlakte_balkons;Heipaallengte;Type_ontsluiting;Aantal_logias;Oppervlakte_logias;Constructie_principe;BGO-BVO-ratio;BGO open-BGO_totaal-ratio;BVO_wonen-Aantal_woningen-ratio;BVO_totaal-aantal_bouwlagen-ratio;BVO_ontsluiting-aantal_bouwlagen-ratio;BVO_ontsluiting-aantal_woningen-ratio;Aantal_woningen-aantal_bouwlagen-ratio;00_Bouwplaastvoorzieningen_plus_index;10_Bodemvoorzieningen_plus_index;15_Heiwerk_plus_index;20_Fundering_plus_index;30_Ruwbouw_plus_index;40_Gevelsluiting_plus_index;50_Afbouw_plus_index;55_Vaste_inrichting_plus_index;60_Ontsluiting_plus_index;70_Horizontale_afwerking_plus_index;75_Balkons;80_Diversen_plus_index;90_Installaties_plus_index;Directe_bouwkosten_plus_index
Cartesius Blok 5, blok B;2740,9;2258,3;29;1955,646;767,7306;770,91;482,6;1;6;51;0;0;0;422;20;1;0;0;1;0,713505053;0,392571355;77,87241379;456,8166667;80,43333333;16,64137931;4,833333333;7307;11140;52842;97965;540986;791782;177182;138822;178064;79589;171123;0;659753;2906555
De Meker;2998,8;2066,4;32;1763,69;683,088;691,6;645,4;2;5;14;0;0;287;56;17;1;14;56;6;0,588131919;0,387306159;64,575;599,76;129,08;20,16875;6,4;12626;18181;29542;83748;518305;660621;522535;85200;37517;99911;156070;34823;1122555;3450244
Cartesius Blok 5, blok A;3236,4;2713,8;24;2206,7955;872,501175;870,87;522,6;1;6;24;0;0;0;240;20;1;0;0;1;0,681867353;0,395370199;113,075;539,4;87,1;21,775;4;8628;13173;61832;113659;618496;849784;366916;148967;176982;93979;112805;0;644375;3209598
Cartesiusdriehoek blok 1, Blok E;4709,36;3834,11;60;2507,4155;1003,5078;976,58;875,25;2;6;60;0;0;0;300;20;1;0;0;1;0,532432326;0,400215999;63,90183333;784,8933333;145,875;14,5875;10;12589;24849;78650;99816;877065;1097915;844625;260464;314159;195211;221955;0;1580140;5607437
Cartesiusdriehoek Blok 1, Blok B;5219,03;4411,87;59;3507,18;1405,89615;1339,91;807,16;2;8;59;0;0;0;354;20;1;0;0;1;0,671998436;0,400862274;74,77745763;652,37875;100,895;13,68067797;7,375;13951;18817;91370;142009;1018998;1467967;902512;257171;231709;131648;188933;0;1607474;6072561
Cartesiusdriehoek blok 1, Blok D;5696,33;4224,46;59;2696,17;1082,7198;989,36;882,46;2;7;59;589,41;0;0;295;20;1;0;0;1;0,47331703;0,401576978;71,60101695;813,7614286;126,0657143;14,95694915;8,428571429;15227;20365;94479;179919;966855;1184019;1005354;258467;270857;118520;267070;0;1576610;5957742
Cartesiusdriehoek blok 1, Blok C;6057,8;5171,22;65;3798,7415;1530,9195;1406,6;886,58;2;9;65;0;0;0;390;20;1;0;0;1;0,627082687;0,403007022;79,55723077;673,0888889;98,50888889;13,63969231;7,222222222;16193;19172;101288;168526;1098274;1586214;1029554;283873;303201;120005;206495;0;1767533;6700327
Brabantbad, toren 1;6598;5261,8;69;3797,25;1978,3075;1290,9;984,5;1;15;69;351,7;0;0;822,4;22;1;0;0;5;0,575515308;0,520984265;76,25797101;439,8666667;65,63333333;14,26811594;4,6;0;18047;247757;270494;1254344;1803837;1280847;26015;346812;162264;573495;82438;2946213;9012562
Brabantbad, toren 3;7345;5884,3;58;4392,05;2275,7075;1489,3;1109;1;17;58;351,7;0;0;891,6;22;1;0;0;5;0,597964602;0,518142439;101,4534483;432,0588235;65,23529412;19,12068966;3,411764706;0;18047;247757;270494;1416503;2101291;1085969;22579;387185;162807;640097;91772;2573493;9017993
Brabantbad, toren 2;8101;6518,1;50;4988,45;2573,9075;1688,1;1231,2;1;19;50;351,7;0;0;1007,5;22;1;0;0;5;0,615782002;0,515973399;130,362;426,3684211;64,8;24,624;2,631578947;0;18047;247757;270494;1568727;2387227;1025869;20080;418070;162807;710599;101217;2313735;9244629
Rutger Zoetermeer, gebouw G2;9693,11;8081,11;122;5269,608;2588,148;1722,094118;1224;2;16;156,7222222;118;1;270;1692,6;20;1;0;0;1;0,543644713;0,49114621;66,23860656;605,819375;76,5;10,03278689;7,625;71059;19155;204857;255332;2051591;2527889;1718242;436150;402249;116332;1655380;204542;3702930;13365707
Herontwikkeling V&D, Koop;11337,59;9812,11;106;6578,657864;3464,792288;2209,09;1525,48;1;16;88;0;0;0;440;20;1;0;0;1;0,580251876;0,526671604;92,56707547;708,599375;95,3425;14,39132075;6,625;99287;11921;383880;369361;1879481;3480391;1845721;0;548068;219166;377868;140381;2890826;12246351
Strijp S, Bouwveld T;19626,509;16029,21;158;12103,62695;5008,246505;4051,994;2721,8;1;24;158;447,799;1;427,7;710,5;25;1;0;0;1;0,616697903;0,41378064;101,4506962;817,7712083;113,4083333;17,22658228;6,583333333;153779;110396;328022;340398;3450096;6642034;4377647;26366;190504;508395;556764;373872;3706651;20764925
Galerij appartementen, 3 lg 4 beuk;954;792;11;841;341;422;162;2;3;8;0;0;0;44;10;2;0;0;6;0,881551363;0,405469679;72;318;54;14,72727273;3,666666667;0;7067;8816;45642;143692;242062;129545;19762;98765;55883;31523;4537;399409;1186703
Galerij appartementen, 3 lg 5 beuk;1167;934;13;973;394;488;233;2;3;10;0;0;0;55;10;2;0;0;6;0,833761782;0,404933196;71,84615385;389;77,66666667;17,92307692;4,333333333;0;8645;10194;54435;177900;279820;153590;23062;111165;65772;40470;4568;459732;1389353
Galerij appartementen, 4 lg 4 beuk;1272;1009;14;1093;454;506;263;2;4;12;0;0;0;66;10;2;0;0;6;0,85927673;0,41537054;72,07142857;318;65,75;18,78571429;3,5;0;7067;9385;45642;183893;314512;165595;24697;145562;55883;47284;4568;494330;1498418
Galerij appartementen, 3 lg 6 beuk;1380;1147;16;1104;447;554;233;2;3;12;0;0;0;66;10;2;0;0;6;0,8;0,404891304;71,6875;460;77,66666667;14,5625;5,333333333;0;10223;11571;63227;212108;316689;188333;27727;123565;75660;47284;4568;549650;1630605
Galerij appartementen, 4 lg 5 beuk;1556;1293;18;1265;525;585;263;2;4;15;0;0;0;82;10;2;0;0;6;0,812982005;0,415019763;71,83333333;389;65,75;14,61111111;4,5;0;8645;10851;54435;227541;362580;211918;30918;164162;65772;60706;4599;614220;1816348
Galerij appartementen, 5 lg 4 beuk;1590;1297;18;1346;568;590;293;2;5;16;0;0;0;88;10;2;0;0;6;0,846540881;0,421991085;72,05555556;318;58,6;16,27777778;3,6;0;7067;9954;45642;207943;386072;212342;30998;192359;55883;63045;4599;618845;1834751
Galerij appartementen, 3 lg 7 beuk;1593;1360;19;1236;500;620;233;2;3;14;0;0;0;77;10;2;0;0;6;0,775894539;0,404530744;71,57894737;531;77,66666667;12,26315789;6,333333333;0;11801;12949;72019;246316;353558;223076;32393;135965;85549;56232;4599;639568;1874024
KRK Zaandam;1629;1445;18;1209;404;373,5;58;2;4;15;0;0;126;91,5;23;2;0;0;6;0,742173112;0,334160463;80,27777778;407,25;14,5;3,222222222;4,5;0;9599;25469;75331;428015;386503;259856;10861;95644;45353;38903;0;445032;1722995
Galerij appartementen, 3 lg 8 beuk;1806;1503;21;1368;554;686;304;2;3;16;0;0;0;88;10;2;0;0;6;0,757475083;0,40497076;71,57142857;602;101,3333333;14,47619048;7;0;13379;14326;80812;280523;391315;247122;35693;148365;95437;63045;4630;699891;2074539
Galerij appartementen, 4 lg 6 beuk;1840;1506;21;1436;596;664;334;2;4;18;0;0;0;99;10;2;0;0;6;0,780434783;0,415041783;71,71428571;460;83,5;15,9047619;5,25;0;10223;12318;63227;271190;411538;247545;35773;182762;75660;70926;4630;704517;2090309
Galerij appartementen, 5 lg 5 beuk;1946;1581;22;1556;656;683;364;2;5;20;0;0;0;110;10;2;0;0;6;0,7995889;0,42159383;71,86363636;389,2;72,8;16,54545455;4,4;0;8645;11509;54435;256935;446229;259549;37409;217159;65772;80941;4630;739114;2182328
Galerij appartementen, 3 lg 9 beuk;2020;1716;24;1499;607;752;304;2;3;18;0;0;0;99;10;2;0;0;6;0,742079208;0,404936624;71,5;673,3333333;101,3333333;12,66666667;8;0;14957;15704;89604;314731;428184;281865;40359;160764;105325;71993;4630;789809;2317926
Klooster Vlietdijk, blok B;2108,8;2055,6;24;1540;502;513,3333333;53,2;1;4;18;0;0;0;153;20;2;0;0;1;0,730273141;0,325974026;85,65;527,2;13,3;2,216666667;6;0;0;44102;58053;337510;515434;342817;6612;148890;47443;120083;9183;693771;2323898
Galerij appartementen, 4 lg 7 beuk;2125;1790;25;1607;667;744;334;2;4;21;0;0;0;115;10;2;0;0;6;0,756235294;0,415059116;71,6;531,25;83,5;13,36;6,25;0;11801;13784;72019;314839;459607;293869;41994;201362;85549;84348;4661;824407;2408240
Galerij appartementen, 3 lg 10 beuk;2233;1929;27;1631;660;818;304;2;3;20;0;0;0;110;10;2;0;0;6;0,730407524;0,404659718;71,44444444;744,3333333;101,3333333;11,25925926;9;0;16535;17081;98397;348939;465053;316608;45025;173164;115214;78806;4661;879727;2559210
Galerij appartementen, 5 lg 6 beuk;2301;1936;27;1767;745;775;364;2;5;24;0;0;0;132;10;2;0;0;6;0,767926988;0,421618563;71,7037037;460,2;72,8;13,48148148;5,4;0;10223;13064;63227;305927;505498;317454;45185;241959;75660;94568;4661;888977;2566404
Stanislas Locatie Blauwhoed, sociaal;2367;2059;33;1822;806;837;308;2;4;30;0;0;0;312;20;2;0;0;6;0,769750739;0,442371021;62,39393939;591,75;77;9,333333333;8,25;0;0;24884;57481;354826;582225;427121;5266;159740;93309;149973;4399;1011739;2870964
Galerij appartementen, 4 lg 8 beuk;2409;2004;28;1778;738;823;405;2;4;24;0;0;0;132;10;2;0;0;6;0,738065587;0,415073116;71,57142857;602,25;101,25;14,46428571;7;0;13379;15251;80812;358488;508564;329495;46850;219962;95437;94568;4661;914703;2682169
Galerij appartementen, 5 lg 7 beuk;2656;2292;32;1977;834;868;364;2;5;28;0;0;0;153;10;2;0;0;6;0,74435241;0,42185129;71,625;531,2;72,8;11,375;6,4;0;11801;14620;72019;354918;564767;375359;52962;266759;85549;112463;4692;1038839;2954749
Galerij appartementen, 4 lg 9 beuk;2693;2288;32;1949;809;902;405;2;4;27;0;0;0;148;10;2;0;0;6;0,723728184;0,415084659;71,5;673,25;101,25;12,65625;8;0;14957;16717;89604;402137;556633;375819;53071;238562;105325;107989;4692;1034593;3000100
Galerij appartementen, 4 lg 10 beuk;2977;2572;36;2120;880;981;405;2;4;30;0;0;0;164;10;2;0;0;6;0,712126302;0,41509434;71,44444444;744,25;101,25;11,25;9;0;16535;18183;98397;445786;604702;422143;59292;257161;115214;118210;4724;1154483;3314829
Galerij appartementen, 5 lg 8 beuk;3011;2576;36;2188;923;960;435;2;5;32;0;0;0;175;10;2;0;0;6;0,726668881;0,421846435;71,55555556;602,2;87;12,08333333;7,2;0;13379;16175;80812;403910;624924;422567;59372;291559;95437;126090;4724;1159108;3298057
Galerij appartementen, 5 lg 9 beuk;3366;2860;40;2399;1012;1052;506;2;5;36;0;0;0;197;10;2;0;0;6;0,712715389;0,421842434;71,5;673,2;101,2;12,65;8;0;14957;17730;89604;452902;685081;469774;65783;316359;105325;143986;4755;1279377;3645633
Galerij appartementen, 5 lg 10 beuk;3721;3215;45;2609;1101;1145;506;2;5;40;0;0;0;219;10;2;0;0;6;0,701155603;0,422000767;71,44444444;744,2;101,2;11,24444444;9;0;16535;19285;98397;501894;744350;527679;73559;341159;115214;157613;4817;1429240;4029741
Klooster Vlietdijk, blok C;4252;4083,5;39;3163,960057;1057,2;1054,653352;168,5;2;5;30;0;0;0;387;20;2;0;0;1;0,74411102;0,334138226;104,7051282;850,4;33,7;4,320512821;7,8;0;0;88924;112305;644575;1029550;501018;10744;282823;87867;194972;17906;1214535;4185218
Leische Rijn Kavel 15, hout i.c.m. beton;10498;9740;130;8244;3386;3151;458;2;8;130;0;0;300;511;20;2;0;0;4;0,785292437;0,41072295;74,92307692;1312,25;57,25;3,523076923;16,25;0;27064;257581;629244;2696170;2661700;1424377;16780;858700;419918;335217;33324;4516528;13876605
Leische Rijn Kavel 15, prefab beton;10498;9740;130;8244;3386;3151;458;2;8;130;0;0;300;511;20;2;0;0;2;0,785292437;0,41072295;74,92307692;1312,25;57,25;3,523076923;16,25;0;27064;257581;629244;2222518;2661700;1424377;16780;858700;419918;335217;33324;4516528;13402953
D-Buurt Amsterdam, blok L;20537;15830,56;194;9798,8124;4409,46558;3266,2708;1347,44;3;10;167;0;1;3359;1681;20;2;0;0;1;0,477129688;0,45;81,60082474;2053,7;134,744;6,94556701;19,4;30422;885778;230179;1435242;2823907;5622315;4650859;37861;1463775;466540;739396;158713;5210230;23755217
Joan Muyskenweg, blok 2;2846;2163,6;30;1868,7;917,6;697;331,4;2;6;0;351;1;0;0;22;3;30;146,4;1;0,656605762;0,491036549;72,12;474,3333333;55,23333333;11,04666667;5;3891;4917;20084;74697;489777;1168499;600019;4102;246103;67148;115138;43752;758363;3596490
Pieter Postlaan - Oushoornlaan, var 1;2925,3312;2146,464;37;1224,72;503,7;408,24;469,9448;2;3;28;0;0;308,9224;170,24;10;3;0;0;1;0,418660287;0,41127768;58,01254054;975,1104;156,6482667;12,70121081;12,33333333;23593;26215;64074;119718;442711;497312;440651;41446;112383;118894;125459;31458;828150;3105060
Pieter Postlaan - Oushoornlaan, var 2;2925,3312;2146,464;37;1224,72;503,7;408,24;469,9448;2;3;28;0;0;308,9224;170,24;15;3;0;0;7;0,418660287;0,41127768;58,01254054;975,1104;156,6482667;12,70121081;12,33333333;23593;26215;96111;119718;399268;500786;442892;41446;112383;118894;125459;52430;828150;3120343
Rutger Zoetermeer, gebouw G3;3580,05;2722,25;34;2048,9014;982,9638;669,5756209;375,8;2;7;38,75;206;0;276;418,5;20;3;0;0;1;0,572310834;0,479751637;80,06617647;511,4357143;53,68571429;11,05294118;4,857142857;27234;15499;73842;128043;682193;969636;508558;121550;188531;92746;292716;84023;1109995;4294566
Rutger Zoetermeer, gebouw G4;6153;5164,24;94;3662,033;1783,062;1196,74281;790;2;10;85,405;0;1;198,76;672,03;20;3;0;0;1;0,595162197;0,486904951;54,9387234;615,3;79;8,404255319;9,4;45680;18902;101532;190999;1275296;1727864;1247555;336050;308705;118248;638098;134749;2568871;8712549
Ottho Heldringstraat toren B;6455,71;5829,31;79;3881,1825;1358,413875;1104,0328;626,4;1;11;72;0;1;0;367,2;18;3;18;91,8;1;0,601201494;0,35;73,78873418;586,8827273;56,94545455;7,929113924;7,181818182;0;19357;158553;110874;1478361;1852179;1518391;0;307160;83515;595034;32864;1733011;7889300
Leidsche Rijn Centrum, Blok E4.2;6491,84;5642,4;69;4626,1635;1676,784059;1542,0545;849,44;3;6;0;0;0;0;0;14;3;138;320,04;1;0,712612064;0,362456722;81,77391304;1081,973333;141,5733333;12,31072464;11,5;30054;29888;244931;219194;1022625;2593612;971362;329782;509733;224086;546489;0;1834179;8555935
Rosendael, gebouw B;6895,69;4594,56;72;3444,3495;1487,214;1438,53;995,88;2;5;54;0;0;1057,26;372,6;20;3;0;0;1;0,499493089;0,431783708;63,81333333;1379,138;199,176;13,83166667;14,4;0;39066;35483;324883;1078699;1361502;1808439;226050;101167;157138;336924;4485;2923299;8397134
Ottho Heldringstraat toren C;7538,26;6574,76;104;4463,224;1740,65736;1540,951267;963,5;1;16;57;0;1;0;290,7;18;3;0;0;1;0,592076156;0,39;63,21884615;471,14125;60,21875;9,264423077;6,5;0;22603;185141;129467;1611532;2174301;1635120;0;430921;97388;291721;23467;2256812;8884788
Kavel 3, blok 9;7570,8;6623,6;95;5234;2444;1678,625477;947,2;1;14;58;0;1;0;621,6;22;3;32;171;1;0,691340413;0,466946886;69,72210526;540,7714286;67,65714286;9,970526316;6,785714286;0;40600;368016;150138;1232498;2901136;2008541;522217;89868;105626;726763;0;2177388;10376069
Rosendael, gebouw A;8009,63;5622,29;103;3975,135;1657,26;1513,2;1894,92;3;8;11;0;0;492,42;241,6;20;3;0;0;1;0,496294461;0,416906596;54,58533981;1001,20375;236,865;18,39728155;12,875;0;51102;46414;403472;1332739;1628029;1966306;196224;238861;152822;386133;4485;3021214;9427801
Centrumvoorzieningen Weespersluis;8450;3336;56;3678,1;1774,26;1369;784;3;6;56;3810;0;520;280;20;3;0;0;1;0,435278107;0,482384927;59,57142857;1408,333333;130,6666667;14;9,333333333;0;75783;225976;411622;1986670;1625556;1144696;168793;299590;548164;194342;15600;2158176;8854969
Rosendael, gebouw C;9568,79;8119,26;94;4808,53;2065,59;2083,25;1425,91;2;6;94;0;0;23,62;507,6;20;3;0;0;1;0,502522262;0,429567872;86,37510638;1594,798333;237,6516667;15,16925532;15,66666667;0;51102;46414;433555;1428771;1829194;2507307;295120;168658;157138;335059;4485;2778875;10035678
Joan Muyskenweg, blok 3;9593;7219,9;108;6250,885;2904,66;2286,1;1579,1;3;9;0;794;1;0;0;22;3;108;565,5;1;0,651608986;0,464679801;66,85092593;1065,888889;175,4555556;14,6212963;12;13116;17776;72687;251782;1542131;3849595;2454083;14766;410172;173222;420143;0;2326041;11545514
De Regent II;10114,81;8666,25;96;6180,2038;2357,44;2138,672219;1171,79;1;16;96;0;0;276,77;1139,77;11;3;0;0;2;0,611005427;0,381450204;90,2734375;632,175625;73,236875;12,20614583;6;64165;59885;99788;180809;2847784;2821132;1533809;50299;223625;441733;440703;81316;2881867;11726914
Joan Muyskenweg, blok 1;10261,2;7976;95;7015,815;3533,84;2442,9;1449,2;1;19;0;499;1;337;0;22;3;95;793,7;1;0,683722664;0,503696292;83,95789474;540,0631579;76,27368421;15,25473684;5;14030;13212;142824;235230;1831585;4301648;2140225;12989;658099;86765;575214;195424;2009707;12216951
Ottho Heldringstraat toren A;10377,26;9222,46;144;5507,512;2276,736;2141,8515;1154,8;1;17;80;0;1;0;360;18;3;32;96;1;0,530728921;0,413387388;64,04486111;610,4270588;67,92941176;8,019444444;8,470588235;0;31116;254867;178225;2290406;2911170;2895780;0;477340;132984;971840;28101;3374069;13545898
Dr. Willem Dreesweg Amstelveen;11396,4;8893,8;102;5249,124;2099,6496;1749,708;1737,6;4;8;204;0;1;765;1017,96;20;3;0;0;5;0,460594925;0,4;87,19411765;1424,55;217,2;17,03529412;12,75;0;24084;108074;128567;2112333;1994792;2007211;0;632184;516966;638097;10906;2986938;11160152
Bijlmercluster 6;11973,8;9169,86;109;6188,196;3403,5078;2267,68;988,56;2;12;46;1427,42;0;387,96;431,52;20;3;58;332,82;1;0,516811371;0,55;84,12715596;997,8166667;82,38;9,069357798;9,083333333;0;25986;331319;304842;2546918;4423932;2567526;0;584944;501317;547341;12442;3567964;15414532
Woontoren Startbaan Amstelveen;11985,8;9425,8;126;5218,5;2087,4;1739,5;1561,8;3;14;118;0;1;998,2;1180;20;3;0;0;5;0,435390212;0,4;74,80793651;856,1285714;111,5571429;12,3952381;9;0;21760;271733;200284;2049598;1949079;2550410;0;665157;274429;858393;3450;2957844;11802138
Rutger Zoetermeer, gebouw G1;13656,1;11760,1;194;8254,7971;4078,0773;2697,646111;1626;2;22;189,9327778;0;1;270;1512,93;20;3;0;0;1;0,604476908;0,494025141;60,61907216;620,7318182;73,90909091;8,381443299;8,818181818;99470;19155;273143;326359;2880278;3888099;2652575;693551;527004;119164;1476381;282672;5513147;18751000
M+N gebouw, The Frame Building;16961,4;12467,8;237;8303,5088;2725,85;2708,784759;2773,9;3;18;135;330;1;1388,61;791,1710526;20;3;0;0;1;0,489553268;0,328276885;52,60675105;942,3;154,1055556;11,70421941;13,16666667;0;102920;406053;405713;3268564;3354624;3534425;124073;806934;504435;619380;0;5642288;18769408
Lieven blok 8;17640,1;10790,3;425;8435,78;4360,992;2636,18125;2605;8;11;202;213;0;650;1033,78;20;3;9;74,7;1;0,47821611;0,516963695;25,38894118;1603,645455;236,8181818;6,129411765;38,63636364;120679;90907;121828;355250;3244801;5710519;3473732;587180;1188823;287315;1260906;281584;8427363;25252309
Leidsche Rijn Centrum, Blok E4.1;2926,63;2593,59;37;2126,3636;1037,142025;708,7878667;333,04;2;6;37;0;0;0;348,64;14;4;0;0;1;0,72655703;0,487753846;70,09702703;487,7716667;55,50666667;9,001081081;6,166666667;13549;13474;110419;98817;495294;1269967;472757;185627;345654;182516;264716;0;912967;4352209
Cartesius Blok 5, blok C;4338,6;3496,8;63;3464,076;1393,7805;1385,16;841,8;2;6;63;0;1;0;610;20;4;0;0;1;0,798431752;0,402352749;55,5047619;723,1;140,3;13,36190476;10,5;11567;21155;81831;161607;840821;1605074;300218;271681;317538;160234;297503;0;1170000;5239227
Stanislas Locatie Blauwhoed, vrij;6562;5009;66;3793;1707;1652;1553;4;5;72;0;0;0;1072;20;4;0;0;6;0,578024992;0,450039547;75,89393939;1312,4;310,6;23,53030303;13,2;0;0;70672;134787;913017;1210215;991504;8584;344070;286810;812260;13242;2119729;6904891
Kavel 3, blok 16;9956,1;8029,3;124;6545,6;3602,59;2199,717544;716,9;2;15;168;360,3;1;849,6;1530,3;22;4;0;0;1;0,657446189;0,550383464;64,75241935;663,74;47,79333333;5,781451613;8,266666667;0;94648;424188;262701;2359162;3578275;1395633;90961;694848;141469;1397540;0;3260413;13699837
Herontwikkeling V&D, Huur;12540,17;6467,3;70;7797,202432;3368,019434;2629,77;1397,71;5;10;66;4675,16;0;0;330;20;4;0;0;1;0,621778049;0,431952288;92,39;1254,017;139,771;19,96728571;7;110180;45465;424598;394802;2056292;3490490;2799382;0;643706;378243;321639;172325;3701047;14626608
Kruisweg Nieuweweg Hoofddorp;16568,5;11401,3;167;9730,565;7408,184;2660,9;1961,5;3;15;0;1224,8;0;1980,9;0;12;4;101;747,4;1;0,587293056;0,761331331;68,27125749;1104,566667;130,7666667;11,74550898;11,13333333;63871;52299;519668;528838;3034496;8676133;2571764;768371;992732;584843;0;1757641;4377869;23958546
Cluster 7;20476;17190;245;15506,93;6181,5;5483,066667;2825;4;17;96;0;1;461;735,16;17;4;104;234;1;0,757322231;0,398628226;70,16326531;1204,470588;166,1764706;11,53061224;14,41176471;84318;121659;236951;340719;4459261;6682008;4195444;875446;932763;669874;1800451;365056;5587092;26351043
Cartesius, blok 0 Optopping;21933,0024;16711,3224;228;8918,928;3507,696;3421,44;3856,28;4;7;168;0;1;1365,4;504;15;4;0;0;1;0,40664419;0,393286727;73,29527368;3133,286057;550,8971429;16,91350877;32,57142857;146572;168736;1974234;481761;5175441;4208938;3368054;1219083;1722259;2616357;493362;406304;6992688;28977299
Merwede Zone Utrecht, blok B1;24601,72;19233,98;333;13438,893;5245,0916;4541,52;5367,74;8;54;268;0;0;0;982,3;20;4;0;0;1;0,54625827;0,390291938;57,7596997;455,5874074;99,40259259;16,11933934;6,166666667;0;76754;715997;735271;5728656;6223525;4295055;1004070;1958272;754399;845755;69271;8608888;31015913
Staalweg Delft;44192;32707;435;24141;11846;7787;9925;10;20;99;5225;1;0;475;24;4;0;0;2;0,546275344;0,490700468;75,18850575;2209,6;496,25;22,81609195;21,75;0;64513;1148201;1351557;9968423;14511749;9826334;0;747785;2066850;387395;3268844;12104606;54008954
Kavel 3, blok 10;551;399,8;8;871;247;269,9263767;29,6;1;5;8;121,6;0;0;28,8;22;2;0;0;1;1,58076225;0,28358209;49,975;110,2;5,92;3,7;1,6;0;5546;26784;57354;124027;445438;80380;45512;122743;38465;36785;0;215332;1215605
Kavel 3, blok 11;1286,5;1093;15;1827;495,1;545,6956522;37,7;1;6;20;125,2;0;30,6;165;22;2;0;0;1;1,420132141;0,270990695;72,86666667;214,4166667;6,283333333;2,513333333;2,5;0;10612;62537;53980;335536;754877;245189;90009;160735;69013;136481;0;371104;2312267
Kavel 3, blok 12;1776,5;1721,6;28;1963;725,4;610,7391304;54,9;2;9;36;0;0;0;227;22;2;0;0;1;1,104981706;0,369536424;61,48571429;197,3888889;6,1;1,960714286;3,111111111;0;14596;86355;58477;412612;908302;428477;144022;128956;54915;355862;0;601975;3240011
Kavel 3, blok 14;1098;954;17;1388,7;389,1;422,26;11;1;6;6;133;0;0;36,81;22;2;0;0;1;1,264754098;0,280190106;56,11764706;183;1,833333333;0,647058824;2,833333333;0;8391;53374;39175;274325;713800;251354;79811;85017;58349;43534;0;524013;2149519
Kavel 3, blok 15;3115;2690;39;2128;922;629,6;366;1;8;56;0;1;59;212,6;22;3;0;0;1;0,683146067;0,433270677;68,97435897;389,375;45,75;9,384615385;4,875;0;21087;196599;78540;668765;1243471;693443;201050;182567;70573;248054;0;1091068;4819270
Cruquiusweg Amsterdam;17492;13929,55;150;9147,513;3253,46;2958,022636;1867,15;4;7;140;1387,3;1;308;1247;22;3;6;48;1;0,522954093;0,35566607;92,86366667;2498,857143;266,7357143;12,44766667;21,42857143;0;17381;228093;517304;2156258;3473546;2099615;23311;647544;436052;656728;0;3862775;14248586
Herontwikkeling Rohde;14758,54;10918,29;112;8165,963;2831,0802;3036,27;1900,1;5;19;109;133,47;1;1806,68;662,33;17;3;0;0;6;0,553304256;0,346692754;97,48473214;776,7652632;100,0052632;16,96517857;5,894736842;0;61351;89105;398077;2289071;2489031;2153468;2432;486380;271258;452674;245495;2500923;11439265
Leidsche Rijn Centrum Blok, E4.3;7246;6142,69;68;5125,2275;1439,66;1708,409167;1103,31;2;14;136;0;0;0;506,59;14;3;0;0;1;0,707318176;0,280896799;90,33367647;517,5714286;78,80785714;16,22514706;4,857142857;33545;33360;273385;244658;1389847;2711710;1002637;325277;565232;70778;489209;0;1834955;8974593
Klooster Vlietdijk, blok A;3832;3412;40;2277,6;859,2;759,2;420;1;8;0;0;1;0;0;20;1;0;0;1;0,594363257;0,377239199;85,3;479;52,5;10,5;5;0;0;80140;97612;589563;721697;696488;11019;198319;43916;0;0;1166993;3605748
